number,fit,bindata,bindata_en,endian,bytes,undef
0,enum,uint8,uint8le,0,1,0xFF
1,sint8,int8,int8le,0,1,0x7F
2,uint8,uint8,uint8le,0,1,0xFF
3,sint16,int16,int16be,1,2,0x7FFF
4,uint16,uint16,uint16be,1,2,0xFFFF
5,sint32,int32,int32be,1,4,0x7FFFFFFF
6,uint32,uint32,uint32be,1,4,0xFFFFFFFF
7,string,string,string,0,1,""
8,float32,float,floatbe,1,4,0xFFFFFFFF
9,float63,double,doublebe,1,4,0xFFFFFFFF
10,uint8z,uint8,uint8le,0,1,0
11,uint16z,uint16,uint16be,1,2,0
12,uint32z,uint32,uint32be,1,4,0
13,byte,uint8,uint8le,0,1,0xFF
14,sint64,int64,int64be,1,8,0x7FFFFFFFFFFFFFFF
15,uint64,uint64,uint64be,1,8,0xFFFFFFFFFFFFFFFF
16,uint64z,uint64,uint64be,1,8,0
17,bool,uint8,uint8le,0,1,0
